feature,mean_abs_shap
years_with_diabetes,0.21344381038051097
hbA1c,0.16268366968165912
retinal_screening_regularity_2,0.06503174682337001
retinal_screening_regularity_1,0.044653374868592804
systolic_bp,0.042525193291416796
dyslipidemia_1,0.035553357492640485
gender_1,0.03420281609524696
hypertension_1,0.018918511781559042
family_history_dr_1,0.013945948222682695
bmi,0.009321101875114283
age,0.008531043771661374
smoking_status_2,0.007626801325973948
diastolic_bp,0.006610224327145835
serum_cholesterol,0.005880555134326725
smoking_status_1,0.0037216574964822682
